"Outlet_name", "Address_Line", "M_M", "latitude", "longitude"
"Reliance Mobile Store","B-4","Qutab Plaza","28.64999","77.10144"
"Sakshi Home Stop","L-11","Qutab Plaza","28.46925","77.10687"
"Sapna Pastry","H-6","Qutab Plaza","28.4693","77.10695"
"SBI Atm","Ground Floor","Qutab Plaza","28.64999","77.10144"
"Shree Balaji Toys & Gifts","J-10","Qutab Plaza","28.4693","77.109654"
"Spring","H-6","Qutab Plaza","28.4693","77.10695"
"Stone Nine","M-9","Qutab Plaza","28.46925","77.10687"
"Subway","J-1","Qutab Plaza","28.4697","77.10696"
"Sunny Sweet","A-6","Qutab Plaza","28.4693","77.10695"
"The Klick Shoppe Photo Studio","H-13","Qutab Plaza","28.4693","77.109654"
"Tia's","B-7","Qutab Plaza","28.64999","77.10144"
"Tunday Kababi","B-2","Qutab Plaza","28.64987","77.101454"
"Yumz","H-8 & 9","Qutab Plaza","28.4693","77.10695"
"53 Street Fashion","A-53","Shopping Mall Arjun Marg","28.467465","77.101547"
"A to Z Collections Multibranded Garments","C-119","Shopping Mall Arjun Marg","28.46435","77.10285"
"Aakash Garments","Cb-74","Shopping Mall Arjun Marg","28.46747","77.10155"
"Anand Drycleaners","S-80","Shopping Mall Arjun Marg","28.467465","77.101547"
"Angels In My Kitchen","C-134","Shopping Mall Arjun Marg","28.46438","77.10289"
"Bakshi Paints & Electrical Traders","D-95","Shopping Mall Arjun Marg","28.467465","77.101547"
"Black Brew Café","S- 78","Shopping Mall Arjun Marg","28.46747","77.10155"
"Brite Light","B-18","Shopping Mall Arjun Marg","28.467466","77.101548"
"Café Pinocchio","D-143","Shopping Mall Arjun Marg","28.4643","77.1028"
"Café Sweet Obsession","D-143","Shopping Mall Arjun Marg","28.46747","77.10155"
"Cambridge","Cb-83","Shopping Mall Arjun Marg","28.46747","77.10155"
"Chemist","B-42","Shopping Mall Arjun Marg","28.46747","77.10155"
"City Collection","B-40","Shopping Mall Arjun Marg","28.46747","77.10155"
"Colonels Kababz","B-16","Shopping Mall Arjun Marg","28.467466","77.101548"
"Cottage","S-77","Shopping Mall Arjun Marg","28.467465","77.101547"
"David & Company","C-123","Shopping Mall Arjun Marg","28.46435","77.10285"
"Denim&Cottons","D-87","Shopping Mall Arjun Marg","28.4643","77.1028"
"Elite Stores Stationers","C-104","Shopping Mall Arjun Marg","28.467466","77.101548"
"Exclusive","Cb-67","Shopping Mall Arjun Marg","28.46747","77.10155"
"Fashion Republic","C-130","Shopping Mall Arjun Marg","28.46438","77.10289"
"Fat Lulu's","A-3","Shopping Mall Arjun Marg","28.467466","77.101548"
"Fitsoul","C-108","Shopping Mall Arjun Marg","28.46747","77.10155"
"Frames The Vision World","D-133","Shopping Mall Arjun Marg","28.46747","77.10155"
"Ganesh Collection","A-1","Shopping Mall Arjun Marg","28.467466","77.101548"
"Gilly Fashion Era","D-86","Shopping Mall Arjun Marg","28.4643","77.1028"
"Gopala","D-85","Shopping Mall Arjun Marg","28.46747","77.10155"
"Halki-Aanch","D-141","Shopping Mall Arjun Marg","28.46747","77.10155"
"HDFC Bank","Ground Floor","Shopping Mall Arjun Marg","28.467466","77.101548"
"Himalaya Herbal Healthcare","D-96","Shopping Mall Arjun Marg","28.467465","77.101547"
"Indian Overseas Bank","A-8 9","Shopping Mall Arjun Marg","28.467466","77.101548"
"J&K Bank","A- 6  7","Shopping Mall Arjun Marg","28.467466","77.101548"
"Kanchan's","S-76","Shopping Mall Arjun Marg","28.467465","77.101547"
"Kazook- Talioring & Ladies","C-127","Shopping Mall Arjun Marg","28.46435","77.10285"
"Kith n Kin","C-124","Shopping Mall Arjun Marg","28.46435","77.10285"
"Kotak Mahindra Atm","Shopping Mall","Shopping Mall Arjun Marg","28.467466","77.101548"
"La Bellezza","D-139","Shopping Mall Arjun Marg","28.46438","77.10289"
"La Fusion","C-132","Shopping Mall Arjun Marg","28.46438","77.10289"
"Mallika Exclusive","C-128","Shopping Mall Arjun Marg","28.46435","77.10285"
"Mallika Shoppe","A-48","Shopping Mall Arjun Marg","28.467465","77.101547"
"Modern Bazaar","A - 23  24  25","Shopping Mall Arjun Marg","28.467466","77.101548"
"Mother Home","B-41","Shopping Mall Arjun Marg","28.46747","77.10155"
"My Fashion Planet","A-55","Shopping Mall Arjun Marg","28.4643","77.1028"
"New Mid Land","C-102","Shopping Mall Arjun Marg","28.46747","77.10155"
"Oriental Atm","A-6","Shopping Mall Arjun Marg","28.46747","77.10155"
"Pingus","C-106","Shopping Mall Arjun Marg","28.46747","77.10155"
"Queeny","Shop No 81","Shopping Mall  Arjun Marg","28.4643","77.1028"
"Qureshi's Kabab","Cb-70","Shopping Mall Arjun Marg","28.46747","77.10155"
"Rajindre","B-21","Shopping Mall Arjun Marg","28.467466","77.101548"
"Redefining Gifts (Archies)","A-10","Shopping Mall Arjun Marg","28.46747","77.10155"
"Religare Wellness","S-103","Shopping Mall Arjun Marg","28.46747","77.10155"
"SBI Bank and Atm","C-118","Shopping Mall Arjun Marg","28.46435","77.10285"
"Shapes","D-98","Shopping Mall Arjun Marg","28.46747","77.10155"
"Shobha","D-97","Shopping Mall Arjun Marg","28.467465","77.101547"
"Soumya Furnishing Store","D-138","Shopping Mall Arjun Marg","28.46438","77.10289"
"South Super Store","C-129","Shopping Mall Arjun Marg","28.46435","77.10285"
"Steps","B-31","Shopping Mall Arjun Marg","28.46747","77.10155"
"Subway","D-144","Shopping Mall Arjun Marg","28.4643","77.1028"
"Sweets Corner","Shopping Mall","Shopping Mall Arjun Marg","28.4643","77.1028"
"The Body Shop","Shop No 107","Shopping Mall Arjun Marg","28.467465","77.101547"
"The Fresh Produce Shoppe","C- 120-122","Shopping Mall Arjun Marg","28.46435","77.10285"
"The Mobilestore","Cb-66","Shopping Mall Arjun Marg","28.46747","77.10155"
"United Opticals","S-79","Shopping Mall Arjun Marg","28.467465","77.101547"
"Vijaya Bank","Shop No 19-20","Shopping Mall Arjun Marg","28.467466","77.101548"
"7 Degree Brauhaus","310-311 3rd Floor","South Point Mall","28.45592","77.111735"
"Adidas","UG 17","South Point Mall","28.447836","77.099086"
"Ambikapillai","18 1st Floor","South Point Mall","28.45592","77.111735"
"Atelier Kabana","Lg 11","South Point Mall","28.45592","77.111735"
"Bahi","315 3Rd Floor","South Point Mall","28.45592","77.111735"
"Bg Food","Lg 14","South Point Mall","28.45592","77.111735"
"Bombay Selections","Lower Ground Floor","South Point Mall","28.45592","77.111735"
"Buddha Body Spa","106 1st Floor","South Point Mall","28.448174","77.009927"
"Buzz","3Rd Floor","South Point Mall","28.45592","77.111735"
"Cafe Coffee Day","1st Floor","South Point Mall","28.447836","77.099086"
"Capella","2nd Floor","South Point Mall","28.447856","77.099863"
"Chantik-Living Solution","Suit 101 101B","South Point Mall","28.4486604","77.100389"
"Club Rhino","312-A 3Rd Floor","South Point Mall","28.45592","77.111735"
"Coffee & Chai","8 Upper Ground Floor","South Point Mall","28.447836","77.099086"
"Cuppa Coffee","Lg 1","South Point Mall","28.45592","77.111735"
"DS Door","Lg 28","South Point Mall","28.44563","77.100433"
"Eminent Estate","23 Lgf","South Point Mall","28.45592","77.111735"
"Fennel","Lg 7","South Point Mall","28.447813","77.099732"
"Ferns n Petals","Ground Floor","South Point Mall","28.44878","77.117812"
"Golden Touch","Lg 09","South Point Mall","28.448286","77.100116"
"Hango","314 3Rd Floor","South Point Mall","28.45592","77.111735"
"Himalaya Opticals","Lg15","South Point Mall","28.447695","77.097281"
"Kargha","Lg 33","South Point Mall","28.447695","77.097281"
"KFC","1st Floor","South Point Mall","28.448286","77.100116"
"Komachi","317 3Rd Floor","South Point Mall","28.45592","77.111735"
"Kumon","Dsp 203B","South Point Mall","28.447795","77.099756"
"Lady Lilac Garments","Lg 10","South Point Mall","28.447695","77.097281"
"Lakme Salon","UG 9","South Point Mall","28.448286","77.100116"
"Le Marche","Upper Ground Floor","South Point Mall","28.44563","77.100433"
"Linen Club","104 1st Floor","South Point Mall","28.448174","77.099927"
"Madonna","123 1st Floor","South Point Mall","28.447939","77.099099"
"Mediumwelldone","Lg34","South Point Mall","28.44563","77.100433"
"Mi","UG 6","South Point Mall","28.44286","77.100116"
"Music Square","Lg 4","South Point Mall","28.447695","77.097281"
"Nail Spa","Lower Ground Floor","South Point Mall","28.45592","77.111735"
"Natraj Studio","114 1st Floor","South Point Mall","28.447799","77.098086"
"Neu Salonz","UG 01D 01E  01F","South Point Mall","28.44563","77.100433"
"Perfect Wellness","Lg 005","South Point Mall","28.45592","77.111735"
"Pet Paw","Ds201A","South Point Mall","28.448165","77.099107"
"PF5 Fitness Studio","Lg 20/21","South Point Mall","28.44563","77.100433"
"Pizzavito","Dsp 105 1st Floor","South Point Mall"," 28.445598","77.100906"
"Qboid","215 2nd Floor","South Point Mall","28.4484","77.0985541"
"Qi to Health","Dsp 110 1st Floor","South Point Mall","28.448219","77.09915"
"Quill and Canvas","122 1st Floor","South Point Mall","28.447991","77.09966"
"Ranya","20 1st Floor","South Point Mall","28.448286","77.100116"
"Skin Alive","S 118 1st Floor","South Point Mall","28.447836","77.099086"
"Swarn Chandrika","117 1st Floor","South Point Mall","28.448174","77.099927"
"Teapot","2nd Floor","South Point Mall","28.4484","77.0985541"
"The Media Café","317 318 3Rd Floor","South Point Mall","28.45592","77.111735"
"The Sprouts","216-218 2nd Floor","South Point Mall","28.450123","77.098365"
"Crown Plaza","site-2","sector -29","28.459497","77.026638"
"Lemon Tree","sco-48","sector -29","28.459497","77.026638"
"Mamagoto","sco-56 pvs building","sector -29","28.459497","77.026638"
"Bikanerwala","plot no 3/5","sector -29","28.459497","77.026638"
"Reliance Mart","plot no 19 and 23","sector -29","28.459497","77.026638"
"CCD","sco 25","sector -29","28.459497","77.026638"
"Bella Madonna","sco-25 basement","sector -29","28.459497","77.026638"
"Adidas","sco 25 ground floor","sector-29","28.466945","77.06652"
"Pizza Hut","sco-25 first floor","sector -29","28.459497","77.026638"
"Mainland China","sco-26","sector -29","28.459497","77.026638"
"Gung The Palace","sco-28","sector -29","28.459497","77.026638"
"Brix","sco-30 ground floor","sector -29","28.459497","77.026638"
"Hops n Brew","sco-30 ","sector -29","28.459497","77.026638"
"Chin Chin","sco-33 ground floor","sector -29","28.459497","77.026638"
"Down Town","sco-34","sector -29","28.464845","77.065222"
"21 Gun salute","sco-35-36 first floor","sector -29","28.459497","77.026638"
"Domino's","sco-35 ground floor","sector -29","28.459497","77.026638"
"Mc Donalds","sco-36 ground floor","sector -29","28.459497","77.026638"
"Gola Sizzlers","sco-39","sector -29","28.459497","77.026638"
"Zura","sco-40","sector -29","28.459497","77.026638"
"Yo China","sco-41 first floor","sector -29","28.459497","77.026638"
"Westin ","number 1 new delhi NCR","sector -29","28.47741","77.068979"
"Kingdom of Dreams","leisure valley","sector -29","28.459497","77.026638"
"HUDA Gymkhana Club","near leisure valley","sector -29","28.459497","77.026638"
"Citrus","plot no-285 and 286","sector -29","28.459497","77.026638"
"The Pllazio Hotel","plot no 292-296","sector -29","28.459497","77.026638"
"Lemon Tree","plot no 287","sector-29","28.459497","77.026638"
"Center for Sight","sco-317","sector -29","28.459497","77.026638"
"Clarens","plot no-363 and 364","sector-29","28.459497","77.026638"
"Country Inn","plot no-360 and 362","sector-29","28.466945","77.06652"
"DIA Park Premier","plot no 353-357","sector-29","28.459497","77.026638"
"Machan","near kingdom of dreams","sector-29","28.459497","77.026638"
"Vasan eye center","sco-379/380","sector-29","28.466945","77.06652"
